Aeg;Mis koolis laps käib?;Mis on lapse sugu? ;Mitmendas klassis laps õpib?;Kui pikk on lapse koolitee?;Kui tihti sõidetakse autoga kooli?;Kui tihti sõidab laps ühistranspordiga kooli?;Kui tihti läheb laps jalgsi kooli?;Kui tihti sõidab laps jalgrattaga kooli?;Kui tihti läheb laps motoriseeritud kaherattalisega kooli?;Kui tihti sõidab laps ise kooli?;Miks just see vahend kooli minekuks?;Kui tihti tuleb laps autoga koolist?;Kui tihti viiakse laps autoga kuni ühistranspordi peatuseni?;Kui tihti tuleb laps ühistranspordiga koolist?;Kui tihti tuleb laps jalgsi koolist?;Kui tihti tuleb laps jalgrattaga koolist?;Kui tihti tuleb laps motoriseeritud kaherattalisega koolist?;Kui tihti sõidab laps ise koolist?;Miks just see vahend koolist tulemiseks?;Kas kasutate lapse kooli viimiseks või koolist toomiseks autot?;Kui turvaliseks hindate lapse kooliteed viies last kooli autoga?;Milliseid ohte oskate välja tuua?;Kui palju aega kulub teil tavaliselt autoga lapse kooli viimiseks / koolist koju toomiseks;Mis põhjustel last autoga kooli viiakse?;Kui oluliseks peate koolitee valikul mõju lapse tervisele?;Kui oluliseks peate koolitee valikul mõju keskkonnale?;Kas ja mis teie elus muutuks kui teie laps iseseisvalt rohkem koolis käiks;Kui palju aega kulub lapsel tavaliselt iseseisvalt kooli minemiseks / koolist koju tulemiseks?;Kas ja mis tingimustel sa oleks laps valmis/nõus rohkem iseseisvalt koolis käima?;Kui heaks hindad lapse liikluskäitumist?;Kui palju keskmiselt liigub laps (õues / trennid jms) igapäevaselt?;Kui turvaliseks hindad lapse kooliteed kui läheb kooli iseseisvalt (jalgsi jalgrattaga ühistranspordiga vms)?;Kas kooliteel esineb järgnevaid ohte? Märgi kõik ohud;Kui palju tekitab teile muret lapse turvalisuse osas see, et laps iseseisvalt liigeldes liigselt nutitelefoni kasutab?;Milliseid ohtlikke liiklussituatsioone olete kooli ümbruses tähele pannud?;Milline on teie enda liikluskäitumine kooli ümbruses?;Kas teie hinnangul saaks kool midagi kooli ümbruse ohutustamiseks teha?;Kas teie hinnangul saate ka ise midagi kooli ümbruse ohutustamiseks teha?;Milliseid muid lahendusi pakute välja selleks et kooli ümbrust ohutumaks muuta?
11/22/2019 17:02:53;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;1-5 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Esimene klass ja tundub hetkel kõige turvalisem;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Päev lõppeb varem kui tööpäev ja laps peab ise tulema koju. Jala tulemiseks liiga pikk tee;Viin autoga kooli (isegi kui vahel harva);täiesti ohutu;;5-10 minutit;Sest nii on ohutum;Nii ja naa;Nii ja naa;Jõuaks ise tööle ehk 10 min varem;11-20 minutit;Ta on nõus ise kooli minema ühistranspordiga. Hetkel viime kooli,kuna soovime ise seda;Hea;46-60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju;Suhteliselt väike probleem;Ei ole märganud;Autoga , Kollase Keskuse parkla. Seal väiksem liiklus,kui kooli juures;;;
11/22/2019 17:11:05;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;Kuni 1 km;Harva;Mitte kunagi;Tihti;Harva;Mitte kunagi;Mitte kunagi;kool on lähedal;Harva;Mitte kunagi;Mitte kunagi;Tihti;Harva;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva);täiesti ohutu;;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Nii ja naa;Pean oluliseks;Ei muutu midagi;5-10 minutit;käibki ise;Väga hea;rohkem kui 60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud;Nii ja naa;Tihe liiklus;Kaupluse parkla, rohkem ruumi;Kooli ümbruses võiks olla videovalve;Ei sõida autoga kooli juurde. ;Kooli lähiümbrus võiks olla autovaba. Kooli läheduses peaks olema eraldi sisse- ja väljasõiduga korraldatud parkimisala.
11/22/2019 17:47:34;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;Üle 10 km;Harva;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Enndal pole autojuhilube, saadan lapse kooli ise bussiga.;Harva;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ei kasuta lapse transportimiseks autot;täiesti ohutu;;31-45 minutit;Kui oleme hiljaks jäämas;Nii ja naa;Nii ja naa;ei oska vastata;31-45 minutit;päeval tuleb bussiga üksi koju;Väga hea;46-60 minutit;Ohtlik;Halvasti valgustatud tänavad+Suurem oht langeda kuriteo ohvriks+Lubatud sõidukiirust ületavad juhid;Nii ja naa;Ei ole märganud;Ei sõida autoga;;;
11/22/2019 18:24:17;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;5-10 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kool jääb tee peale ja algab enam-vähem samal ajal kui tööpäev;Harva;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kojutulek on tööpäeva keskel, bussiga saab kooli juurest otse kodu juurde;Viin autoga kooli (isegi kui vahel harva)+Toon autoga koolist (isegi kui vahel harva);täiesti ohutu;;11-20 minutit;Viime halva ilma korral+Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Nii ja naa;Nii ja naa;Muutuks lapse elus- peaks hommikul varem kodust lahkuma, buss on täis ja väljas on pime, mis teeks koolitee ohtlikumaks. ;31-45 minutit;Ei oska öelda;Hea;rohkem kui 60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Lubatud sõidukiirust ületavad juhid;On suur probleem ;Kõnnitee puudumine ja autodevool hommikul koolihoovi ja sealt välja. Lapse kukkumine libedaga auto kõrval samal teel. ;Hommikul pargime koolist kaugemal majadevahelisel tänaval;Sissesõiduteele nt kõnnitee;Mitte kiirustada ja tekitada ummikuid;
11/22/2019 19:27:29;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;1-5 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Isa liigub hommikuti samal ajal samas suunas tööle ja viib lapsed kooli;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Ühistranspordipeatus on kooli lähedal ja buss peatub kodu ees. ;Viin autoga kooli (isegi kui vahel harva);nii ja naa;Kooli territooriumi ees on keelumärk, mille ees isa peatub, et lapsed maha lasta, kuid paljud vanemad eiravad keelumärki ja sõidavad kooli territooriumile, manööverdavad kitsal teel ja kooliõuel, põhjustades laste jaoks ohtlikke olukordi. Kooli juhtkond on probleemist teadlik, kuid ei tee midagi olukorra parandamiseks. ;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Ei pea üldse oluliseks;Ei pea üldse oluliseks;Ei muutu midagi;21-30 minutit;Kui isa keelduks viimast ;Hea;rohkem kui 60 minutit;Nii ja naa;Pööret lõpetavad juhid ei anna lastele teed+Lapsed peavad hommikul kooli jõudma närviliselt trügivate autode vahel+kuna paljud lapsevanemad sõidavad keelumärgi alt kooli territooriumile sisse. ;Suhteliselt väike probleem;Vt eelmisi vastuseid;Isa peatub autoga keelumärgi ees, kuna seal on seda mugavam teha kui eemal ühistranspordi peatuses. ;Jah, oleks mitu võimalust. ;Ilmselt mitte, sest olen kooli juhtkonnaga pidanud sel teemal kirjavahetust ja sain vastuseks, et hoopis lapsed peaksid ettevaatlikumad olema. ;Võib-olla tuleks sinna politsei hommikuti trahvima kutsuda. 
11/22/2019 19:34:10;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;1-5 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Isa liigub hommikuti samal ajal samas suunas tööle ja viib lapsed kooli ;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Ühistranspordipeatus on kooli lähedal ja buss peatub kodu ees.;Viin autoga kooli (isegi kui vahel harva);nii ja naa;Kooli territooriumi ees on keelumärk, kuid paljud lapsevanemad eiravad seda ja sõidavad kooli territooriumile sisse, manööverdavad kitsal teel ja kooliõuel ning põhjustavad laste jaoks ohtlikke olukordi. ;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Ei pea üldse oluliseks;Ei pea üldse oluliseks;Ei muutu midagi;5-10 minutit;Kui isa keelduks viimast ;Hea;rohkem kui 60 minutit;Nii ja naa;Pööret lõpetavad juhid ei anna lastele teed+Keelumärki eirates kooli territooriumile sõitvad juhid tekitavad hommikuti manööverdades laste jaoks ohtlikke olukordi. ;Ei tekita muret;Vt eelmisi vastuseid;Isa peatub autoga keelumärgi ees, kuna seal on seda mugavam teha kui eemal ühistranspordi peatuses. ;Jah saaks mitmel viisil, kuid juhtkond ei tegele selle probleemiga. ;Ei ;Politsei kohale kutsuda. 
11/22/2019 19:46:35;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;1-5 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Isa liigub hommikuti samal ajal samas suunas tööle ja viib lapsed kooli;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Ühistranspordipeatus on kooli lähedal ja buss peatub kodu ees. ;Viin autoga kooli (isegi kui vahel harva);nii ja naa;Paljud lapsevanemad sõidavad hommikuti keelumärki eirates kooli territooriumile sisse ja põhjustavad kitsal teel ja kooliõuel manööverdades laste jaoks ohtlikke olukordi. ;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Ei pea üldse oluliseks;Ei pea üldse oluliseks;Ei muutu midagi;21-30 minutit;Kui isa keelduks viimast ;Hea;rohkem kui 60 minutit;Nii ja naa;Pööret lõpetavad juhid ei anna lastele teed+Lapsed lähevad kooli närviliselt trügivate autode vahel+kuna paljud lapsevanemad sõidavad keelumärki eirates kooli territooriumile sisse. ;Ei tekita muret;Vt eelmisi vastuseid;Isa peatub autoga keelumärgi ees, kuna seal on seda mugavam teha kui eemal ühistranspordi peatuses. ;Jah, tõkkepuu, kaamerate abil trahvimise süsteem, politseipatrull vmt, kuid kooli juhtkond ei soovi probleemiga tegeleda. ;Ei ;Võib-olla tuleks endal politsei trahvima kutsuda. 
11/22/2019 20:28:49;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;1-5 km;Harva;Pooltel kordadel nädalast;Mitte kunagi;Harva;Tihti;Mitte kunagi;Pojal enda mootorrattas ja tema soovil aitame.;Pooltel kordadel nädalast;Mitte kunagi;Harva;Harva;Pooltel kordadel nädalast;Tihti;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva)+Toon autoga koolist (isegi kui vahel harva);täiesti ohutu;;5-10 minutit;Viime halva ilma korral+Kui lapsed paluvad;Pean väga oluliseks;Nii ja naa;Laps käib võimalikult palju iseseisvalt koolis, seega harva abistamine pole mure.;5-10 minutit;Lapsel enda distsipliin hoiab teda iseseisvalt koolis käimas.;Väga hea;rohkem kui 60 minutit;Täiesti Suhteliselt ohutu;Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Ei tekita muret;Lapsel on mootorrattas ja muret toob, kui ei näidata suunatuld ja kõige ohtlikumaks peab kooli territooriumisse sissesõidul, kus asub prügikast, paljud juhid lõikavad nurka ja sõidavad otse väravast välja ja on olnud situatsioone, kui laps oma mootorrattaga napilt sõidab prügikasti ja auto vahelt läbi.;Laps sõidab mootorrattaga kooliterritooriumile koos parkimisloaga, sõites ettevaatlikult laste ümber.;Autode sissepääsu ja väljapääsu nurga paremini nähtavamaks teha, et juhid näeksid väravast välja enne pöörde sooritamist.;Ei ;
11/22/2019 21:29:16;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;1-5 km;Tihti;Harva;Mitte kunagi;Pooltel kordadel nädalast;Mitte kunagi;Mitte kunagi;Kiireim viis kooli jõudmiseks;Mitte kunagi;Mitte kunagi;Alati;Harva;Pooltel kordadel nädalast;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva);täiesti ohutu;;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Pean oluliseks;Pean väga oluliseks;Rohkem aega;11-20 minutit;Kui me samal ajal välja ei läheks;Väga hea;31-45 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju;On probleem ;Liialt autosid;Ei pargi kooli juures;;;
11/22/2019 22:06:38;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;5-10 km;Pooltel kordadel nädalast;Pooltel kordadel nädalast;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sõltub ilmaoludest ja valge aja pikkusest päevas;Harva;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Autoga toome siis, kui koolipäevad on pikad ja väsitavad, on vaja kiirelt trenni või arstile jõuda. ;Viin autoga kooli (isegi kui vahel harva)+Toon autoga koolist (isegi kui vahel harva);täiesti ohutu;;21-30 minutit;Viime halva ilma korral+Kui lapsed paluvad+Kui lapsed on hommikul väga väsinud+Viime ühistranspordi peatuseni+sest tee sinna on muidu ohtlik.;Pean oluliseks;Pean oluliseks;Käibki suhteliselt iseseisvalt. Pimedatel ja jäistel talvehommikutel toetame vajadusel lisaks.  ;46-60 minutit;"Kui kool algaks nt 9.00 ja väljas oleks talvel pisut valgem kooli minna
";Hea;rohkem kui 60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Suurem oht langeda kuriteo ohvriks;Nii ja naa;Lapsi kooli toovad vanemad liiklevad risti-rästi ja arvestavad valdavalt vaid oma lapse turvalisusega.;Pargin koolist eemale;Ei, sest liikluskorraldus avalikel tänavatel ei kuulu kooli kompententsi ja mõjualasse. Lapsevanemaid saab ainult harida.;Jah;Kooli territooriumi väravas võiks hommikul olla valve (nt valvelaua töötaja), kes lubab sinna vaid õpetajate autod. 
11/22/2019 23:22:33;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;1-5 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kõige turvalisem ;Mitte kunagi;Mitte kunagi;Alati;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;kõige turvalisem;Viin autoga kooli (isegi kui vahel harva);täiesti ohutu;Tuleb ületada Õismäe  ja Karikakra bussi peatusest neljarealine ilma valgusfoorita tee. Seal võiksid  olla valgusfoorid.;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem)+Viime+selleks+et see aitab meil oma (lapsevanema) päeva rutiini hoida+Sest nii on ohutum;Nii ja naa;Nii ja naa;Siis laps oleks iseseisvam.;11-20 minutit;Turvalised tee ületamised ;Väga hea;rohkem kui 60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Lubatud sõidukiirust ületavad juhid+Reguleerimata ülekäiguradade eest ei peatuta.;Ei tekita muret;Autod ja  jalakäijatele puudub tee, mistõttu tuleb liigelda auto teel.;peatun Järveotsa teel, kuna seal puuduvad parkimisvõimalused. Kuid jalakäijatele puudub seal tee ja lapsed peavad ka mudaseks trambitud murul või auto teel kooli minema ca 100 m.;Linnaosavalitsus võiks teha jalakäijatele tee Järveotsa tee poolsele küljele , kus on autodele keelumärk paigaldatud.;;Lapsed võiksid pääseda kooli aeda (või jalakäija tee võiks olla aia sees), et vältida ohtlikku olukorda Järveotsa tee poolt kooli minejatele.
11/22/2019 23:42:52;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;1-5 km;Alati;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Buss hommikuti ülekoormatud, sõidan  tööle täpselt koolist mööda, jalgsi ja rattaga poleturvaline minna;Mitte kunagi;Mitte kunagi;Alati;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Ainuke turvaline võimalus koju saada;Viin autoga kooli (isegi kui vahel harva);suhteliselt ohutu;Ummikud;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem)+Viime+selleks+et see aitab meil oma (lapsevanema) päeva rutiini hoida;Pean väga oluliseks;Nii ja naa;Ei muutu midagi;5-10 minutit;Normaalne busii täituvus ja selle graafikust kinni pidamine;Väga hea;rohkem kui 60 minutit;Täiesti Suhteliselt ohutu;Bussiga liigeldes ohte pole+jalgsi ja rattaga oht auto alla jääda+sest kooliteest üle poole on ilma igasugused jalgteeta;Nii ja naa;Hommikused ummikud kooli juures;Pargin koolist eemale;Koolihoovi sissesõidukeelu pidev kontrollimine;Ei sõida autoga kooli juurde. ;Lasta lapsed autost välja koolile lähima bussipeatuse või poe parklas
11/23/2019 5:39:16;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;5-10 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Hommikul ainus võimalus.;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva)+Toon autoga koolist (isegi kui vahel harva);suhteliselt ohutu;;11-20 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Ei pea üldse oluliseks;Nii ja naa;Tal ei ole võimalik hommikuti ise minna, seoses elukohaga.;rohkem kui 60 minutit;Ei;Hea;rohkem kui 60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Nii ja naa;Kooli hoovis liiga kiire sõit.;Pargin koolist eemale;Ei;Ei ;
11/23/2019 9:23:34;Tallinna Järveotsa Gümnaasium;Mees;;5-10 km;Mitte kunagi;Alati;Harva;Alati;Mitte kunagi;Mitte kunagi;buss v tõuks, väga mugav;Mitte kunagi;Mitte kunagi;Alati;Pooltel kordadel nädalast;Alati;Mitte kunagi;Mitte kunagi;;Ei kasuta lapse transportimiseks autot;täiesti ohutu;;alla 5 minuti;EI VII;Pean väga oluliseks;Pean väga oluliseks;Käib ise koolis;5-10 minutit;käibki ise;Hea;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed;Nii ja naa;Ei ole märganud;Ei sõida autoga;Ei;Ei ;
11/23/2019 9:48:40;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;1-5 km;Tihti;Mitte kunagi;Harva;Harva;Mitte kunagi;Mitte kunagi;Et laps saaks kauem magada ja kiiremini kohale. ;Harva;Mitte kunagi;Harva;Tihti;Harva;Mitte kunagi;Mitte kunagi;Pole võimalust autoga järel käia ja ühitranspordiühendus on halb. ;Viin autoga kooli (isegi kui vahel harva);suhteliselt ohutu;Kooli juures on halb infrastruktuur ja hommikuti tihe liiklus. ;5-10 minutit;Viime halva ilma korral+Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem)+Kui lapsed on hommikul väga väsinud;Nii ja naa;Nii ja naa;Peaksin pidevalt mõtlema kas ta jõudis õigeks ajaks ja ilusti kohale. ;21-30 minutit;Kui ilm on sobiv ja ta saaks minna tõuke-/jalgrattaga. ;Väga hea;46-60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju;Suhteliselt väike probleem;Autod kihutavad, kitsad teed, autod üritavad manööverdada samas kohas kus lapsi auto pealt maha lastakse. ;Ei pargi, sõidutan lapse kohale ja liigun edasi. ;Suurem parkla kooli lähiümbruses. ;;
11/23/2019 12:19:51;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;5-10 km;Alati;Harva;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;Sest lähen nagu nii ise tööle ning viin ühtlasi ka lapsed kooli;Harva;Mitte kunagi;Alati;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva)+Toon autoga koolist (isegi kui vahel harva);suhteliselt ohutu;;11-20 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Nii ja naa;Nii ja naa;Peaksin pool tundi varem ärkama, et lastele toit varem valmis teha kuna lapsed peaksid varem kodunt väljuma.;46-60 minutit;Kui kool algaks hiljem.;Väga hea;rohkem kui 60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Väikesed ohutussaared suure liiklusega teel+Suurem oht langeda kuriteo ohvriks+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju;On probleem ; liikluskorraldusele kooli tagumise sõiduvärava ümbruses. Hommikuti ummikud ja liikusohtlikud olukorrad.liikuse korraldamine ühesuunaliseks.;minimaalselt takistada teisi liiklejaid. Ei sõida koolimaja hoovi vaid peatun võimalikult lühikeseks ajaks.Vaba parkimiskoha olemasolul pargin sinna. ;Kool võiks teha ettepaneku liikuskorralduse muudatusteks.;"Kasutan võimalikult palju ""tervet talupojamõistust""";Muuta rannajoont!!!!
11/23/2019 13:42:44;Tallinna Järveotsa Gümnaasium;Mees;4.-6.;Kuni 1 km;Tihti;Harva;Harva;Harva;Mitte kunagi;Mitte kunagi;Logistiliselt sobiv;Harva;Mitte kunagi;Pooltel kordadel nädalast;Pooltel kordadel nädalast;Harva;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva);suhteliselt ohutu;;5-10 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Pean oluliseks;Nii ja naa;Oleks aega rohkem iseendale;11-20 minutit;Kui sõber ka käiks koos;Hea;46-60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;On probleem ;Kortermajade vahel pargib ja lookleb väga palju autosid;Kooli ukse ette;Vist mitte;Ei ;
11/23/2019 14:42:58;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;5-10 km;Mitte kunagi;Alati;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;Sest meil ei ole autot. ;Mitte kunagi;Mitte kunagi;Alati;Harva;Harva;Mitte kunagi;Mitte kunagi;;Ei kasuta lapse transportimiseks autot;suhteliselt ohutu;Avarii;11-20 minutit;Meil ei ole autot;Pean oluliseks;Pean oluliseks;Käib ise koolis;11-20 minutit;Ta tahtis ise iseseisvalt kooli ja koolist tagasi tulla. ;Hea;rohkem kui 60 minutit;Suhteliselt ohutu;Minu arvates ei ole lapsel kooliteel mingeid ohte;On probleem ;Ei ole märganud;Ei sõida autoga;Minu arvates kool ei saa midagi teha. ;Ei ;
11/23/2019 20:27:17;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;Kuni 1 km;Harva;Alati;Harva;Harva;Mitte kunagi;Mitte kunagi;Tahavad ise minna bussiga.;Harva;Mitte kunagi;Alati;Harva;Harva;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva)+Toon autoga koolist (isegi kui vahel harva);suhteliselt ohutu;;alla 5 minuti;Viime halva ilma korral+Kui oleme hiljaks jäämas;Pean oluliseks;Pean oluliseks;Muutuks rohkem iseseisvamaks.;5-10 minutit;Ilusa ilma korral.;Hea;46-60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;On suur probleem ;Ei ole märganud;Ei pargi kooli juures;;;Päris kooli ette lastevanemate autosid mitte lubada.
11/23/2019 20:37:08;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;Kuni 1 km;Harva;Alati;Harva;Harva;Mitte kunagi;Mitte kunagi;Kool on suhteliselt lähedal, bussipeatused ka lähedal nii kodule kui koolile.;Harva;Mitte kunagi;Alati;Harva;Harva;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva)+Toon autoga koolist (isegi kui vahel harva);nii ja naa;;alla 5 minuti;Viime halva ilma korral+Kui oleme hiljaks jäämas;Nii ja naa;Pean oluliseks;Laps saab kiiremini iseseisvamaks ja oskab aega planeerida.;5-10 minutit;Ilusa ilma korral.;Hea;46-60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;On suur probleem ;Autodega sõitmine lausa kooli trepini.;Kui tulen autoga, pargin kõrvaloleva kaupluse parklasse.;;;Autosid mitte lubama nii lähedale kooli ette, välja arvatud õpetajad.
11/23/2019 22:26:47;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Harva;Mitte kunagi;Mitte kunagi;Kool on väga lähedal.;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Harva;Mitte kunagi;Mitte kunagi;;Ei kasuta lapse transportimiseks autot;täiesti ohutu;;21-30 minutit;Ei vii last kooli autoga.;Nii ja naa;Nii ja naa;Käib ise koolis;11-20 minutit;käibki ise;Hea;21-30 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid+Väga tihe liiklus.;Suhteliselt väike probleem;Ei ole märganud;Ei sõida autoga;Ei tea;Ei ;
11/24/2019 7:08:59;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;5-10 km;Harva;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Jalgsi nii kaugele ei lähe;Harva;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Viin autoga kooli (isegi kui vahel harva);suhteliselt ohutu;Tihe liiklus;11-20 minutit;Sest laste kool jääb lapsevanema töö marsruudile (või enamvähem);Pean oluliseks;Pean oluliseks;Ei muutu midagi;31-45 minutit;Kui bussid tihedamalt käiks;Hea;46-60 minutit;Suhteliselt ohutu;Halvasti valgustatud tänavad+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama;Nii ja naa;Tähelepanematud juhid;Maxima parklasse, sest Järveotsa koolil polegi parklat;;;
