Aeg;Mis koolis käid?;Mis on sinu sugu? ;Mitmendas klassis õpid?;Kui pikk on sinu koolitee?;Kui Tihti sõidad autoga kooli?;Kui Tihti sõidad ühistranspordiga kooli?;Kui Tihti lähed jalgsi kooli?;Kui Tihti sõidad jalgrattaga kooli?;Kui Tihti lähed motoriseeritud kaherattalisega kooli?;Kui Tihti sõidad ise kooli?;Miks just see vahend kooli minekuks?;Kui tihti tuled autoga koolist?;Kui tihti viiakse autoga kuni ühistranspordi peatuseni?;Kui tihti tuled ühistranspordiga koolist?;Kui tihti jalgsi koolist?;Kui tihti tuled jalgrattaga koolist?;Kui tihti tuled motoriseeritud kaherattalisega koolist?;Kui tihti sõidad ise koolist?;Miks just see vahend koolist tulemiseks?;Kui turvaliseks pead kooliteed kui sind viiakse autoga?;Milliseid ohte oskad välja tuua?;Kui palju aega kulub sul tavaliselt autoga kooli / koolist koju minemiseks?;Mis põhjustel sind autoga kooli viiakse?;Kui oluliseks pead koolitee valikul mõju oma tervisele?;Kui oluliseks pead koolitee valikul mõju keskkonnale?;Mis see sinu jaoks muudaks kui hakkaksid rohkem iseseisvalt koolis käima?;Kui palju aega kulub sul tavaliselt iseseisvalt kooli minemiseks / koolist koju tulemiseks?;Kas ja mis tingimustel sa oleks valmis/nõus rohkem iseseisvalt koolis käima?;Kui heaks hindad oma liikluskäitumist?;Kui palju keskmiselt liigud (õues / trennid jms) igapäevaselt?;Kui turvaliseks hindad oma kooliteed kui lähed kooli iseseisvalt (jalgsi jalgrattaga ühistranspordiga vms)?;Kas kooliteel esineb järgnevaid ohte? Märgi kõik ohud;Milliseid sinu hinnangul ohtlikke liiklussituatsioone oled kooli ümbruses liigeldes tähele pannud?;Kirjelda lastevanemate liikluskäitumist kooli ümbruses?;Milline on sinu enda liikluskäitumine kooli ümbruses?;Kas sinu hinnangul saaks kool midagi kooli ümbruse ohutumaks muutmiseks teha?;Milliseid muid lahendusi pakud välja selleks et kooli ümbrust ohutumaks muuta?
25.11.2019 19:05;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;1-5 km;Harva;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Vanemad käsivad;Harva;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;T�iesti ohutu;Autoavarii;5-10 minutit;Halva ilma korral, Siis kui ise palun, et mind viidaks autoga, Kui olen hiljaks jäämas;Suhteliselt ebaoluline;Ei pea �ldse oluliseks;Mitte midagi;11-20 minutit;Ei ole midagi vaja;Nii ja naa;alla 5 minuti;Ohtlik;Minu arvates ei kooliteel mingeid ohte;;Normaalne;Ei oska vastata;Ei saa;Ei oska vastata
25.11.2019 19:08;Tallinna Järveotsa Gümnaasium;Naine;10.-12.;Üle 10 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest elan koolist kaugel ja ühistrandspordiga kooli minnes jään kooli hiljaks.;Pooltel kordadel n�dalas;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest jõuan varem koju kui autoga minnes;T�iesti ohutu;;31-45 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Nii ja naa;Pean v�ga oluliseks;Kooli minekuks kuluva aja pikkust;31-45 minutit;Kui mu ühistrandspordi ajad oleks sobilikumad või oleks oma auto;Hea;11-20 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed;;;;;
25.11.2019 19:13;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;1-5 km;Tihti;Harva;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;..sest mind viiakse autoga?;Pooltel kordadel n�dalas;Mitte kunagi;Tihti;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;mulle meeldib jalgsi jalutada ja bussis istuda;Ohutu;eriti ei oska. võib olla liigub ringi mõni kahtlane isik, aga seda pole veel minuga juhtunud;5-10 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Nii ja naa;Pean v�ga oluliseks;käiks nüüd ka kodust kooli jalgsi;21-30 minutit;olen lihtsalt nõus;Hea;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad;eriti polegi;pole jälginud;tavaline?;võib olla. ma pole eriti ohte näinud, aga ma ei vaata ka kõikjale;
25.11.2019 20:41;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;Üle 10 km;Mitte kunagi;Tihti;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;Ma kasutan selliseid viise kooliminekul kuna mulle on see väga sobilik ja mugav.;Mitte kunagi;Mitte kunagi;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Ühistranspordiga on väga mugav sõita.;T�iesti ohutu;Näiteks avarii, pahad inimesed hakkavad paluma raha ja ähvardama bussis.;5-10 minutit;Siis kui ise palun, et mind viidaks autoga;Suhteliselt ebaoluline;Ei pea �ldse oluliseks;Ma lähengi tavaliselt ise kooli.;31-45 minutit;Ma käiks isegi jalgsi kooli siis kui mul oleks sõpru kellega saaks teel juttu ajada.;V�ga hea;rohkem kui 60 minutit;T�iesti ohutu;Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Suur liiklus.;Kooli juures on palju autosi. Pimedas kui väike laps jookseb kooli võib autojuht seda mitte märgata ja siis on paha lugu.;Mõned sõidavad liiga kiiresti.;Normaalne;Ma arvan et rohkem valgust ja võibolla ohutusmärke.;Ma ei oska sellele vastata.
25.11.2019 20:42;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;5-10 km;Harva;Alati;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;Kõige praktilisem ja mugavam;Mitte kunagi;Mitte kunagi;Alati;Harva;Harva;Mitte kunagi;Mitte kunagi;Ka sellepärast et see on kõige praktilisem ja mugavam kui arvestada ka mu vanematega;Ohutu;Autoavarii;11-20 minutit;Halva ilma korral, Siis kui ise palun, et mind viidaks autoga, Kui olen hiljaks jäämas, Kui olen on hommikul väga väsinud;Pean oluliseks;Pean v�ga oluliseks;midagi;21-30 minutit;KÄIN JUBA;V�ga hea;31-45 minutit;Nii ja naa;Lubatud sõidukiirust ületavad juhid;Ulakad bussijuhid;Väga hea nii palju kui olen jälginud.;Väga hea.;Ei tule kohe midagi pähe.;Ei oska midagi pakkuda
25.11.2019 20:52;Tallinna Järveotsa Gümnaasium;Naine;1.-3.;1-5 km;Harva;Mitte kunagi;Alati;Tihti;Mitte kunagi;Mitte kunagi;Kiire ja nugav;Harva;Mitte kunagi;Mitte kunagi;Alati;Alati;Mitte kunagi;Mitte kunagi;Kiire ja mugav;T�iesti ohutu;;5-10 minutit;Juba käin;Pean oluliseks;Pean oluliseks;Juba käin;5-10 minutit;Juba käin ise;V�ga hea;rohkem kui 60 minutit;Suhteliselt ohutu;Pööret lõpetavad juhid ei anna lastele teed;;;;;
25.11.2019 21:15;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;5-10 km;Pooltel kordadel n�dalas;Alati;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;Pole teisi võimalusi ;Pooltel kordadel n�dalas;Mitte kunagi;Alati;Mitte kunagi;Harva;Mitte kunagi;Mitte kunagi;;T�iesti ohutu;Närvilised liiklejad;5-10 minutit;Halva ilma korral, Sest kool jääb ema / isa töökoha tee peale (või enamvähem), Siis kui ise palun, et mind viidaks autoga, Kui olen hiljaks jäämas, Kui olen on hommikul väga väsinud;Pean oluliseks;Pean v�ga oluliseks;Käingi iseseisvalt;11-20 minutit;Käin juba iseseisvalt koolis;V�ga hea;31-45 minutit;Suhteliselt ohutu;Pööret lõpetavad juhid ei anna lastele teed+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Paar autoõnnetust, peaargu oleks mind auto alla aetud, sest nad on vist pimedad;Tundub viisakas;Ettevaatlik;Meil TJGs kõik suht ohutu, ümbrus on hästi planeeritud;
25.11.2019 21:38;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;5-10 km;Tihti;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest, et tegu on kõige lihtsamate viisidega.;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;T�iesti ohutu;;11-20 minutit;Halva ilma korral, Sest kool jääb ema / isa töökoha tee peale (või enamvähem), Kui olen hiljaks jäämas;Suhteliselt ebaoluline;Nii ja naa;Väga midagi ei muudaks.;21-30 minutit;Kui bussis tihemini käiks.;Hea;31-45 minutit;Suhteliselt ohutu;Halvasti valgustatud tänavad+Lubatud sõidukiirust ületavad juhid;;;;;
25.11.2019 22:32;Tallinna Järveotsa Gümnaasium;Naine;7.-9.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest nii on mugav.;Mitte kunagi;Mitte kunagi;Harva;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest vahel lähen koos sõpradega bussiga, et saaks veidi juttu ajada.;T�iesti ohutu;Ei ole;alla 5 minuti;Halva ilma korral, Kui olen hiljaks jäämas, Kui olen on hommikul väga väsinud;Pean oluliseks;Suhteliselt ebaoluline;Mitte midagi kuna käin niigi iseseisvalt koolis.;alla 5 minuti;Käin juba ja mul pole selle vastu midagi.;V�ga hea;rohkem kui 60 minutit;T�iesti ohutu;Minu arvates ei kooliteel mingeid ohte;Lapsed jooksevad üle punase tule.;Ettevaatlikud.;Rahulik, ettevaatlik.;Ei;Ei oska öelda.
26.11.2019 11:36;Tallinna Järveotsa Gümnaasium;Mees;4.-6.;1-5 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kuna muidu ma pean varem ärkama;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mu isal on töö;T�iesti ohutu;;5-10 minutit;Siis kui ise palun, et mind viidaks autoga, Kui olen on hommikul väga väsinud, Sest nii on ohutum;Pean oluliseks;Pean oluliseks;Õpiksin rohkem linna;11-20 minutit;Kui ma tunneksin rohkem linna rohkem ja oleks ohutum liikuda;V�ga hea;rohkem kui 60 minutit;Suhteliselt ohutu;Halvasti valgustatud tänavad+Suurem oht langeda kuriteo ohvriks+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju;Palju prügi ja kodutuid;Ohutu;Hea;Ei tea;Ei tea
26.11.2019 11:39;Tallinna Järveotsa Gümnaasium;Mees;4.-6.;5-10 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Tihti;Sest mul ei ole võimalik teiste abi vahenditega;Alati;Pooltel kordadel n�dalas;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;Pooltel kordadel n�dalas;Ei ole teist võimalust;Ohutu;Avari;11-20 minutit;Ma elan kaugel;Pean v�ga oluliseks;Pean v�ga oluliseks;See oleks lahe;46-60 minutit;Et mul võetakse ps4 ära;Hea;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad;Lahe ;Normalne;Hea;Ok;Et oleks rohkem ohutu
26.11.2019 11:39;Tallinna Järveotsa Gümnaasium;Mees;4.-6.;5-10 km;Tihti;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;sest kui ma hommikul tõusen ma olen väga väsind ja kell on juba 7.20 ma lihtsalt istun autosse ja söön seal;Tihti;Mitte kunagi;Pooltel kordadel n�dalas;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;T�iesti ohutu;;5-10 minutit;Siis kui ise palun, et mind viidaks autoga, Kui olen on hommikul väga väsinud, Sest nii on ohutum;Pean v�ga oluliseks;Nii ja naa;ma oleks väga väsind ;11-20 minutit;ei ma ei hakkas kaima ;V�ga hea;rohkem kui 60 minutit;T�iesti ohutu;Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Väikesed ohutussaared suure liiklusega teel;;;;;
26.11.2019 11:40;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;1-5 km;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest see on kiire ja mugav;Mitte kunagi;Mitte kunagi;Alati;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Ma sõidan ühistransportiga, sest see on ainus viis mulle saada koju kiiresti (peale jalgsi);Ohutu;Keegi sõidab su autole pihta;11-20 minutit;Ma ei sõida autoga;Pean oluliseks;Nii ja naa;Ma käin koolis iseseisvalt;11-20 minutit;Sest liikumine on tervisele parem, kui lihtsalt autos istumine ja ootamine, kui kohal oled;Hea;46-60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Väikesed ohutussaared suure liiklusega teel+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Praegu ma pole midagi märganud;Sõidavad sinna, kuhu pole lubatud;Ettevaatlik;Jah, saaks;ma ei tea...
26.11.2019 11:40;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;Kuni 1 km;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest minu vanemad ei jaksa mind autoga viia ja ma elan kooli juures;Harva;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest ma elan lähedal ja ma saan bussiga minna väga kiiresti;T�iesti ohutu;ma ei tea;5-10 minutit;Siis kui ise palun, et mind viidaks autoga;Ei pea �ldse oluliseks;Ei pea �ldse oluliseks;mitte midagi väga;11-20 minutit;Kui saan süüa peale seda;Hea;rohkem kui 60 minutit;Suhteliselt ohutu;Minu arvates ei kooliteel mingeid ohte;Ma ei tea;Ma ei tea;Ma ei tea;Vaata kaameraid, sest üks kord meie koolist varastati arvuti;VAATA KAAMERIAD!
26.11.2019 11:40;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest teisi ei taha;Alati;Alati;Alati;Alati;Alati;Alati;Alati;Jah see on hea;Nii ja naa;Klaasi saab lõhkuda;alla 5 minuti;Halva ilma korral, Kui olen hiljaks jäämas;Nii ja naa;Nii ja naa;Ma ei tea;alla 5 minuti;Ma ei tea;V�ga hea;rohkem kui 60 minutit;T�iesti ohutu;Minu arvates ei kooliteel mingeid ohte;Ei tea;Ei tea;Ei tea;Ei tea;Ei tea
26.11.2019 11:41;Tallinna Järveotsa Gümnaasium;Mees;4.-6.;Kuni 1 km;Harva;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Ma ei tea;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;;T�iesti ohutu;;alla 5 minuti;Halva ilma korral, Siis kui ise palun, et mind viidaks autoga, Kui olen on hommikul väga väsinud;Nii ja naa;Pean oluliseks;Mitte midagi;5-10 minutit;🤷‍♂️ ma ei tea;Hea;rohkem kui 60 minutit;T�iesti ohutu;Minu arvates ei kooliteel mingeid ohte;;Hea;;Võiksid ülekaiguraja kuhugi lähedale ehitad kuna vahepeal on suht piin üle tee minna nii et sind peaaegu alla ajatakse.;
26.11.2019 11:41;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;ei oska vastata;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest mul ei ole võimalik muud moodi.;Harva;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;T�iesti ohutu;;11-20 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Pean v�ga oluliseks;Nii ja naa;Ma oleks rohkem väsinud;21-30 minutit;Kui ilm oleks ilus ja homikud oleksid valged;V�ga hea;31-45 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Väikesed ohutussaared suure liiklusega teel;;;Hea;;Valvur võiks kaameraid vaadata!
26.11.2019 11:42;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;5-10 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kuna mu isa saab mind kooli viia ja bussid haisevad.;Tihti;Harva;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kuna mu isa saab mind ära viia;Ohutu;auto avarii, sõidad tiiki.;5-10 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem), Kui olen hiljaks jäämas;Ei pea �ldse oluliseks;Ei pea �ldse oluliseks;hiljem kooli,trenni;11-20 minutit;kui mu arvuti jääb mulle ja swda ei võeta ära.;Hea;46-60 minutit;Suhteliselt ohutu;Minu arvates ei kooliteel mingeid ohte;pole näinud.;mõned sõidavad sinna kuhu ei tohi aga kuidu hea.;Päris hea.;Vaatata kaameraid;vaata kaameraid
26.11.2019 11:42;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;5-10 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest muidu jõuan liiga vara kooli;Harva;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest mu vanemad töötavad väga kaugel ja nende töö lõppeb öhtul;Ohutu;Loomad teel ;11-20 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem), Siis kui ise palun, et mind viidaks autoga, Kui olen hiljaks jäämas;Ei pea �ldse oluliseks;Ei pea �ldse oluliseks;Oleks rohkem väsinud ja väga külm;31-45 minutit;Ma ei ole nõus;V�ga hea;rohkem kui 60 minutit;Nii ja naa;Halvasti valgustatud tänavad;Joodikuid olen näinud;Normaalne;Olen korralik;Öösel aknad ja uksed lukku, vaatata kaameraid ja väravad lukus et võõrad sisse ei saaks;Samad Mis enne
26.11.2019 12:08;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;5-10 km;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest kodu on kaugel ja nii on mugavam;Pooltel kordadel n�dalas;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ohutu;Kitsed ja põdrad jooksevad teele;11-20 minutit;Halva ilma korral, Sest kool jääb ema / isa töökoha tee peale (või enamvähem);Ei pea �ldse oluliseks;Ei pea �ldse oluliseks;Pean varem ülesse ärkama ;46-60 minutit;Siis kui ma rohkem taskuraha saan;Hea;rohkem kui 60 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju;Autod sõidavad kiiresti;Pargivad kohta kuhu ei tohi;Hea;Tõkkepuid panna;
26.11.2019 12:12;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;ei oska vastata;Harva;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kuna see on mugavam.;Harva;Mitte kunagi;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;T�iesti ohutu;Et keegi võib meile otsa sõita .;5-10 minutit;Halva ilma korral, Kui olen on hommikul väga väsinud, Kui ei viitsi kõndida .;Pean v�ga oluliseks;Nii ja naa;Et ma ei oleks nii laisk .;5-10 minutit;Kui mulle raha antakse .;V�ga hea;31-45 minutit;Nii ja naa;Halvasti valgustatud tänavad+Pööret lõpetavad juhid ei anna lastele teed+Suurem oht langeda kuriteo ohvriks+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju+Lubatud sõidukiirust ületavad juhid;Ma ei ole midagi ohtliku pannid tähele .;Eeskujulik;Eeskujulik;Ma arvan, et ei .;Ma ei tea
26.11.2019 12:23;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;ei oska vastata;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest mu vanemad arvavad, et autoga viies saab kiiremini kooli.;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest bussiga saab kiiremini koju.;T�iesti ohutu;Keegi võib sulle otsa sõita.;11-20 minutit;Sest kool jääb ema / isa töökoha tee peale (või enamvähem), Sest mu vanemad arvavad, et autoga saab kiiremini kooli.;Pean oluliseks;Pean v�ga oluliseks;Ma ei oleks nii laisk.;11-20 minutit;Kui rohkem sõpru tuleks hommikul bussiga kooli.;V�ga hea;21-30 minutit;Nii ja naa;Reguleerimata ülekäigurajad+Halvasti valgustatud tänavad;;;;;
26.11.2019 12:23;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;5-10 km;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;nii on mugavam. ei taha vanemaid äratada.;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest vanemaid ei taha äratada.;Ohutu;Võib-olla, mingid avariid. ;5-10 minutit;Halva ilma korral, Siis kui ise palun, et mind viidaks autoga, Kui olen hiljaks jäämas;Ei pea �ldse oluliseks;Ei pea �ldse oluliseks;Ma käingi täesti iseseisvalt kooli.;21-30 minutit;Ma alati käin iseseisvalt kooli. Kuhu veel rohkem?;Hea;5-10 minutit;Suhteliselt ohutu;Suurem oht langeda kuriteo ohvriks+Lubatud sõidukiirust ületavad juhid;;;;;
26.11.2019 12:28;Tallinna Järveotsa Gümnaasium;Mees;7.-9.;1-5 km;Mitte kunagi;Alati;Pooltel kordadel n�dalas;Alati;Mitte kunagi;Mitte kunagi;Sest ma pean;Pooltel kordadel n�dalas;Pooltel kordadel n�dalas;Tihti;Pooltel kordadel n�dalas;Pooltel kordadel n�dalas;Harva;Alati;Ei tea;T�iesti ohutu;Ei oska;21-30 minutit;Halva ilma korral, Kui olen on hommikul väga väsinud;Pean v�ga oluliseks;Ei pea �ldse oluliseks;Kõike;21-30 minutit;.;V�ga hea;21-30 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed;.;.;.;.;.
26.11.2019 12:44;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;5-10 km;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;nii on mugavam. ei taha vanemaid äratada.;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest vanemaid ei taha äratada.;Ohutu;Võib-olla, mingid avariid. ;5-10 minutit;Halva ilma korral, Siis kui ise palun, et mind viidaks autoga, Kui olen hiljaks jäämas;Ei pea �ldse oluliseks;Ei pea �ldse oluliseks;Ma käingi täesti iseseisvalt kooli.;21-30 minutit;Ma alati käin iseseisvalt kooli. Kuhu veel rohkem?;Hea;5-10 minutit;Suhteliselt ohutu;Suurem oht langeda kuriteo ohvriks+Lubatud sõidukiirust ületavad juhid;;;;;
26.11.2019 13:03;Tallinna Järveotsa Gümnaasium;Mees;10.-12.;Kuni 1 km;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Alati;Mitte kunagi;Elan ligidal;Mitte kunagi;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Tihti;Mitte kunagi;;T�iesti ohutu;;alla 5 minuti;Ei tule autoga;Ei pea �ldse oluliseks;Ei pea �ldse oluliseks;Midagi ;alla 5 minuti;Midagi;V�ga hea;rohkem kui 60 minutit;T�iesti ohutu;;;;;;
26.11.2019 16:00;Tallinna Järveotsa Gümnaasium;Naine;10.-12.;Üle 10 km;Alati;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Sest ma elan kaugel;Harva;Harva;Tihti;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;T�iesti ohutu;;46-60 minutit;Mind viiakse autoga ühistranspordi peatuseni, sest sinna on pikk maa;Nii ja naa;Nii ja naa;Kõike;rohkem kui 60 minutit;Ma ei tea;Hea;46-60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad;;;;;
26.11.2019 16:55;Tallinna Järveotsa Gümnaasium;Naine;4.-6.;ei oska vastata;Mitte kunagi;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Kuna see on kiireim viis;Mitte kunagi;Mitte kunagi;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ohutu;Auto avarii;alla 5 minuti;Siis kui ise palun, et mind viidaks autoga, Kui olen hiljaks jäämas;Suhteliselt ebaoluline;Nii ja naa;Mul läheks kauem aega ;5-10 minutit;Kui bussiga läheks kauem;Hea;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju;Et inimesed lähevad ületee ilma vaatamata kas autosid tuleb;Ei vaata ülekäigurajal kas autosid tuleb;Olen ettevaatlik ja vaatan ülekäigurajal kas autosid tuleb;Ülekäigu rajadele võiks panna valgusfoor;
26.11.2019 19:38;Tallinna Järveotsa Gümnaasium;Mees;4.-6.;1-5 km;Harva;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;kuna muud varianti ei ole;Mitte kunagi;Mitte kunagi;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;;Ohutu;;5-10 minutit;Kui olen hiljaks jäämas;Pean oluliseks;Pean oluliseks;oleks ükildasem;21-30 minutit;olengi nõus;V�ga hea;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Sõidukijuhid sõidavad tihti punase fooritulega ristmikule+mida lapsed peavad ületama+Lubatud sõidukiirust ületavad juhid;autod sõidavad liiga kiiresti;;viisakas;ei;aed tugevamaks ja, etkooli ajal oleks värav lukus
26.11.2019 21:27;Tallinna Järveotsa Gümnaasium;Mees;1.-3.;1-5 km;Alati;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mitte kunagi;Mugav ja turvaline;Mitte kunagi;Mitte kunagi;Tihti;Harva;Mitte kunagi;Mitte kunagi;Mitte kunagi;Muud võimalust pole ;T�iesti ohutu;;5-10 minutit;Sest nii on ohutum;Pean oluliseks;Nii ja naa;Mõjub tervisele paremini;21-30 minutit;Ei tea;V�ga hea;rohkem kui 60 minutit;Suhteliselt ohutu;Reguleerimata ülekäigurajad+Pööret lõpetavad juhid ei anna lastele teed+Väikesed ohutussaared suure liiklusega teel+Ülekäigurajal on parkivate sõidukite tõttu nähtavus piiratud+Paljud täiskasvanud näitavad oma liikluskäitumisega lastele halba eeskuju;Ei anna lastele teed;Korralik;Olen tähelepanelik;Ei;
